time,load_mw,wind,solar,central_power,local_power,commercial_power,net_imports
2023-12-31 23:00:00,2737.95,2502.70,0.20,193.52,97.13,65.91,-125.82
2024-01-01 00:00:00,2600.62,2353.30,0.19,207.75,88.66,65.82,-119.40
2024-01-01 01:00:00,2765.98,2234.11,0.22,197.40,92.74,72.70,164.52
2024-01-01 02:00:00,2952.48,2201.16,0.22,185.04,63.85,62.62,435.24
2024-01-01 03:00:00,2940.75,1728.34,0.19,183.98,60.64,62.39,900.83
2024-01-01 04:00:00,2958.06,1722.58,0.25,184.08,57.25,62.97,926.56
2024-01-01 05:00:00,2943.87,1741.20,0.23,187.07,62.48,70.30,878.22
2024-01-01 06:00:00,2924.45,1843.88,0.25,195.83,65.88,70.65,743.61
2024-01-01 07:00:00,2879.31,1774.28,0.27,191.86,59.37,71.22,777.95
2024-01-01 08:00:00,2930.11,2193.74,8.04,194.24,63.33,73.63,392.77
2024-01-01 09:00:00,2835.56,2131.92,26.03,263.28,104.90,76.62,228.46
2024-01-01 10:00:00,2842.67,2022.36,40.62,277.17,117.94,78.33,301.90
2024-01-01 11:00:00,2818.30,1842.81,58.20,301.48,117.10,80.36,413.95
2024-01-01 12:00:00,2850.38,1739.41,56.02,319.62,114.99,80.20,535.72
2024-01-01 13:00:00,2848.39,1719.51,29.00,323.85,118.89,81.19,571.45
2024-01-01 14:00:00,2747.34,1777.19,5.70,402.79,141.80,81.68,333.65
2024-01-01 15:00:00,2716.68,1918.56,0.35,553.50,144.90,82.89,11.97
2024-01-01 16:00:00,2839.03,1963.01,0.41,631.77,146.58,86.18,6.57
2024-01-01 17:00:00,2748.76,2037.54,0.37,624.52,139.03,85.79,-143.02
2024-01-01 18:00:00,2638.95,2098.09,0.33,615.74,149.44,80.74,-309.88
2024-01-01 19:00:00,2562.16,2163.59,0.28,383.68,145.50,80.90,-216.29
2024-01-01 20:00:00,2808.30,2299.21,0.24,330.92,114.13,79.92,-20.62
2024-01-01 21:00:00,2802.09,2383.43,0.31,325.05,114.43,79.07,-104.66
2024-01-01 22:00:00,2642.74,2390.77,0.26,269.31,114.64,78.09,-214.80
2024-01-01 23:00:00,2836.30,2310.33,0.21,147.81,109.80,66.37,197.30
2024-01-02 00:00:00,2731.72,2175.80,0.20,105.31,113.00,64.37,268.59
2024-01-02 01:00:00,2828.91,2109.05,0.19,159.70,103.77,63.74,388.02
2024-01-02 02:00:00,2963.69,2101.73,0.16,216.56,73.17,60.38,507.26
2024-01-02 03:00:00,2931.36,2269.08,0.12,214.25,65.41,60.20,317.88
2024-01-02 04:00:00,2976.59,2606.33,0.17,259.78,70.56,63.52,-28.18
2024-01-02 05:00:00,3075.84,2996.44,0.24,358.28,114.73,79.60,-477.85
2024-01-02 06:00:00,3155.22,3205.98,0.29,538.88,183.26,81.36,-858.93
2024-01-02 07:00:00,3223.12,3458.21,0.40,564.65,256.74,83.88,-1144.90
2024-01-02 08:00:00,3276.66,3728.46,10.21,631.75,250.54,85.64,-1433.89
2024-01-02 09:00:00,3302.23,4037.65,41.23,619.08,298.69,89.64,-1787.99
2024-01-02 10:00:00,3283.56,4145.30,64.54,619.21,311.73,100.36,-1961.51
2024-01-02 11:00:00,3250.06,4223.90,71.55,630.30,325.88,102.25,-2107.78
2024-01-02 12:00:00,3310.30,4311.65,52.18,670.05,323.02,92.42,-2142.99
2024-01-02 13:00:00,3420.59,4441.82,27.12,659.57,329.61,90.48,-2132.01
2024-01-02 14:00:00,3360.57,4551.43,5.24,671.99,337.75,90.37,-2300.26
2024-01-02 15:00:00,3467.07,4690.51,0.83,674.07,372.10,91.36,-2365.88
2024-01-02 16:00:00,3618.61,4745.42,0.85,650.17,359.05,88.74,-2229.68
2024-01-02 17:00:00,3486.18,4771.09,0.81,653.99,323.58,89.68,-2357.04
2024-01-02 18:00:00,3838.81,4781.73,0.78,581.09,179.07,90.74,-1798.61
2024-01-02 19:00:00,3345.88,4763.77,0.76,609.03,167.06,85.79,-2284.52
2024-01-02 20:00:00,3765.88,4685.66,0.78,386.47,105.42,81.31,-1497.76
2024-01-02 21:00:00,3472.44,4713.31,0.76,346.97,95.46,80.53,-1768.60
2024-01-02 22:00:00,3441.43,4669.44,0.75,256.52,84.86,69.18,-1643.34
2024-01-02 23:00:00,3598.55,4628.51,0.76,215.01,71.85,63.32,-1384.90
2024-01-03 00:00:00,3756.29,4553.99,0.75,201.81,72.42,62.34,-1139.02
2024-01-03 01:00:00,3697.22,4547.79,0.72,187.97,89.73,62.80,-1195.79
2024-01-03 02:00:00,3615.30,4343.60,0.74,179.67,76.17,61.01,-1049.89
2024-01-03 03:00:00,3750.46,4123.40,0.71,169.65,56.38,60.53,-664.21
2024-01-03 04:00:00,3828.13,4062.29,0.74,169.46,55.89,61.60,-525.84
2024-01-03 05:00:00,3802.44,4349.45,0.81,197.37,66.89,74.07,-890.14
2024-01-03 06:00:00,3852.05,4547.46,1.19,271.88,100.35,79.81,-1152.89
2024-01-03 07:00:00,3780.55,4559.66,0.88,529.41,127.22,77.61,-1518.47
2024-01-03 08:00:00,3821.98,4540.94,13.57,529.84,132.71,75.40,-1474.77
2024-01-03 09:00:00,4010.79,4544.82,58.27,563.16,151.28,75.88,-1386.89
2024-01-03 10:00:00,3947.15,4525.95,91.96,564.04,142.97,73.55,-1455.58
2024-01-03 11:00:00,3963.03,4531.38,103.59,517.73,149.58,71.21,-1414.75
2024-01-03 12:00:00,3942.08,4496.42,74.91,521.87,155.75,71.75,-1382.97
2024-01-03 13:00:00,3851.16,4465.84,42.55,524.46,158.65,74.22,-1418.94
2024-01-03 14:00:00,3577.87,4406.31,13.46,599.26,229.30,73.72,-1748.58
2024-01-03 15:00:00,3672.93,4386.92,0.59,656.27,326.51,76.50,-1778.27
2024-01-03 16:00:00,3800.81,4388.30,0.61,697.46,380.25,80.68,-1750.89
2024-01-03 17:00:00,3596.60,4362.59,0.57,688.42,382.46,80.83,-1922.67
2024-01-03 18:00:00,3386.81,4345.62,0.59,689.44,379.45,79.74,-2112.43
2024-01-03 19:00:00,3222.33,4305.41,0.61,649.53,345.06,78.19,-2160.87
2024-01-03 20:00:00,3140.53,4240.80,0.50,653.95,190.30,72.45,-2021.68
2024-01-03 21:00:00,3236.84,4238.39,0.53,699.21,155.22,70.81,-1931.50
2024-01-03 22:00:00,3222.71,4294.71,0.56,712.59,142.38,72.22,-2003.93
2024-01-03 23:00:00,3288.71,4294.89,0.61,639.85,110.20,66.11,-1827.11
2024-01-04 00:00:00,3394.63,4283.22,0.65,585.60,108.68,64.78,-1652.47
2024-01-04 01:00:00,3561.31,4207.15,0.66,429.87,95.40,64.13,-1240.07
2024-01-04 02:00:00,3596.58,4125.22,0.64,352.82,90.94,64.32,-1041.52
