# Annual electricity demand per zone at 2050, for the
# forward-looking sections 7 and 9.
# GENERATED by data/prepare.py -- do not edit by hand.
# Source: ENTSO-E/ENTSOG TYNDP 2024 Scenarios, Demand Profiles,
#   Distributed Energy 2050 (CC-BY-4.0), averaged over
#   climate years [1995, 2008, 2009] -- the three the workbooks
#   carry. The spread between them is under three per cent.
# base_twh = market_twh + prosumer_twh. The prosumer half is demand
#   served behind the meter by rooftop generation; leaving it out
#   understates Danish demand by roughly a third.
# ev_twh comes from ev_assumptions.csv and is listed here so the
#   models can add it as a separate block: TYNDP counts vehicles
#   OUTSIDE the demand profiles, so it must be added, never carved
#   out. Electrolysis is likewise separate -- it is the hydrogen
#   sector of section 9.
# ONLY THE ANNUAL TOTAL IS USED. The hourly shape stays the shipped
#   network's own 2024 profile; see the docstring for why.
# load_twh_2024 and scale_vs_2024 record what the shipped network
#   carries and how far the horizon moves it -- the number that
#   used to be a flat assumed factor of two.
zone,tyndp_zones,load_twh_2024,market_twh,prosumer_twh,base_twh,ev_twh,total_twh,scale_vs_2024
DE,DE00+DEKF,464.057,531.553,313.79,845.343,134.502,979.845,2.1115
DK1,DKW1+DKNS,18.769,13.466,11.198,24.664,6.607,31.271,1.6661
DK2,DKE1+DKKF+DKBH,17.889,6.767,5.666,12.433,4.891,17.324,0.9684
NO1,NOS0,48.964,61.521,0.0,61.521,9.906,71.427,1.4588
NO2,NOS0,32.782,41.189,0.0,41.189,6.632,47.821,1.4588
NO3,NOM1,21.702,30.769,0.0,30.769,4.39,35.159,1.62
NO4,NON1,19.034,28.403,0.0,28.403,3.85,32.253,1.6945
NO5,NOS0,13.925,17.496,0.0,17.496,2.816,20.312,1.4587
SE1,SE01,7.478,16.133,5.706,21.84,0.759,22.599,3.0222
SE2,SE02,18.857,26.373,9.308,35.681,1.507,37.188,1.9722
SE3,SE03,79.396,88.809,31.299,120.107,12.619,132.726,1.6717
SE4,SE04,25.693,27.48,9.705,37.185,4.127,41.312,1.6079
