# Annual electric-vehicle electricity demand per zone, for the
# flexible charging block of section 9.
# GENERATED by data/prepare.py -- do not edit by hand.
# Source: ENTSO-E/ENTSOG TYNDP 2024 Scenarios, EV Modelling Inputs,
#   EV_VEHICLES at 2050, summed over passenger cars, vans,
#   buses and trucks (CC-BY-4.0). Both scenarios are recorded; the
#   Distributed Energy one is used.
# The block is ADDED to the zone's load, never carved out of it:
#   TYNDP counts vehicles outside its demand profiles, so the base
#   load in demand_zones_*.csv does not already contain them.
#   (It was carved out while the models ran on an assumed doubling
#   of 2024 load, which did presume transport electrification.)
# Only the energy is data. That the block must meet it daily, at
#   hours of its choosing, is a model assumption.
# load_twh is the shipped network's own 2024 annual load, kept here
#   as the reference the share is measured against.
zone,tyndp_zones,load_twh,ev_twh_distributed,ev_twh_global,ev_twh_used,share_of_load,basis
DE,DE00+DEKF,464.06,134.502,103.812,134.502,0.2898,TYNDP Distributed Energy 2050
DK1,DKW1+DKNS,18.77,6.607,4.251,6.607,0.352,TYNDP Distributed Energy 2050
DK2,DKE1+DKKF+DKBH,17.89,4.891,3.147,4.891,0.2734,TYNDP Distributed Energy 2050
NO1,NOS0,48.96,0.0,0.0,9.906,0.2023,mean share of the covered zones (not in the dataset)
NO2,NOS0,32.78,0.0,0.0,6.632,0.2023,mean share of the covered zones (not in the dataset)
NO3,NOM1,21.7,0.0,0.0,4.39,0.2023,mean share of the covered zones (not in the dataset)
NO4,NON1,19.03,0.0,0.0,3.85,0.2023,mean share of the covered zones (not in the dataset)
NO5,NOS0,13.92,0.0,0.0,2.816,0.2023,mean share of the covered zones (not in the dataset)
SE1,SE01,7.48,0.759,0.293,0.759,0.1015,TYNDP Distributed Energy 2050
SE2,SE02,18.86,1.507,0.581,1.507,0.0799,TYNDP Distributed Energy 2050
SE3,SE03,79.4,12.619,4.865,12.619,0.1589,TYNDP Distributed Energy 2050
SE4,SE04,25.69,4.127,1.591,4.127,0.1606,TYNDP Distributed Energy 2050
