time,ExchangeNO_MWh,ExchangeSE_MWh,ExchangeGE_MWh,ExchangeNL_MWh,ExchangeGB_MWh,ExchangeGreatBelt_MWh
2023-12-31 23:00:00,-1700.64,-485.10,2581.48,522.75,-504.81,-539.50
2024-01-01 00:00:00,-1701.02,-495.87,2532.59,677.96,-592.66,-540.40
2024-01-01 01:00:00,-1700.74,-212.47,2429.78,588.68,-400.23,-540.50
2024-01-01 02:00:00,-1700.94,-457.78,2518.08,643.68,-29.80,-538.00
2024-01-01 03:00:00,-1387.55,-308.11,2441.79,287.38,366.12,-498.80
2024-01-01 04:00:00,-1273.28,-335.48,1935.31,673.34,435.17,-508.50
2024-01-01 05:00:00,-1287.39,-472.91,2035.32,616.86,507.85,-521.50
2024-01-01 06:00:00,-1528.97,-439.71,2303.15,455.41,463.13,-509.40
2024-01-01 07:00:00,-1681.65,-570.67,2253.55,678.21,567.81,-469.30
2024-01-01 08:00:00,-1701.96,-707.76,2518.88,683.47,152.94,-552.80
2024-01-01 09:00:00,-1702.17,-525.82,2418.81,683.35,-493.00,-152.70
2024-01-01 10:00:00,-1697.37,-545.68,2535.80,683.23,-794.28,120.20
2024-01-01 11:00:00,-1635.25,-565.22,2532.03,683.18,-800.60,199.80
2024-01-01 12:00:00,-1696.36,-679.34,2516.14,683.31,-800.53,512.50
2024-01-01 13:00:00,-1700.34,-626.92,2484.08,683.23,-800.60,532.00
2024-01-01 14:00:00,-1661.49,-592.28,2402.76,672.12,-800.65,313.20
2024-01-01 15:00:00,-1358.94,-502.95,2423.66,124.47,-800.97,126.70
2024-01-01 16:00:00,-1027.34,-207.16,2519.06,-545.45,-800.84,68.30
2024-01-01 17:00:00,-1265.24,-615.88,2401.49,78.84,-800.93,58.70
2024-01-01 18:00:00,-1259.74,-595.75,2567.92,-68.92,-800.99,-152.40
2024-01-01 19:00:00,-1669.06,-675.28,2434.71,585.20,-788.55,-103.30
2024-01-01 20:00:00,-1700.50,-712.78,2432.20,561.30,-217.63,-383.20
2024-01-01 21:00:00,-1700.73,-728.80,2392.87,138.15,51.15,-257.30
2024-01-01 22:00:00,-1700.24,-731.60,1358.46,671.74,763.04,-576.20
2024-01-01 23:00:00,-1700.76,-731.85,1849.64,683.55,696.72,-600.00
2024-01-02 00:00:00,-1700.57,-731.85,2093.61,683.37,468.23,-544.20
2024-01-02 01:00:00,-1700.67,-731.86,1950.68,683.41,774.96,-588.50
2024-01-02 02:00:00,-1700.73,-731.94,2071.11,683.37,782.46,-597.00
2024-01-02 03:00:00,-1700.68,-731.73,1846.88,683.39,781.31,-561.30
2024-01-02 04:00:00,-1700.62,-731.87,1391.23,683.15,770.92,-441.00
2024-01-02 05:00:00,-1700.09,-731.96,1511.84,677.64,292.41,-527.70
2024-01-02 06:00:00,-1651.35,-726.14,1343.74,397.24,98.07,-320.50
2024-01-02 07:00:00,-1210.93,-645.23,1551.45,-274.12,-302.56,-263.50
2024-01-02 08:00:00,-767.25,-637.38,1630.61,-677.61,-789.56,-192.70
2024-01-02 09:00:00,-355.05,-673.66,752.00,-669.86,-762.02,-79.40
2024-01-02 10:00:00,-35.44,-703.50,364.60,-495.04,-780.53,-311.60
2024-01-02 11:00:00,-109.45,-466.40,279.58,-674.84,-799.27,-337.40
2024-01-02 12:00:00,-329.34,-482.81,541.70,-518.39,-771.16,-583.00
2024-01-02 13:00:00,-337.55,-268.26,277.47,-456.71,-766.86,-580.10
2024-01-02 14:00:00,-615.86,-331.17,319.78,-678.83,-605.28,-388.90
2024-01-02 15:00:00,-646.56,-393.00,536.40,-698.51,-662.71,-501.50
2024-01-02 16:00:00,-646.16,-169.80,277.25,-526.16,-607.31,-557.50
2024-01-02 17:00:00,-1288.99,-664.30,474.13,-299.20,-0.68,-578.00
2024-01-02 18:00:00,-1677.71,-724.52,1821.18,-627.97,0.00,-589.60
2024-01-02 19:00:00,-1700.99,-725.04,1293.35,-700.94,0.00,-450.90
2024-01-02 20:00:00,-1701.23,-730.75,2161.03,-702.16,-0.05,-524.60
2024-01-02 21:00:00,-1701.61,-724.79,1851.22,-700.91,-0.30,-492.20
2024-01-02 22:00:00,-1701.57,-318.41,2255.24,-629.26,-746.54,-502.80
2024-01-02 23:00:00,-1701.50,-619.20,2504.68,-270.50,-800.09,-498.30
2024-01-03 00:00:00,-1700.91,-675.98,2502.90,78.93,-800.16,-543.80
2024-01-03 01:00:00,-1701.07,-271.50,2454.09,-408.16,-795.34,-473.80
2024-01-03 02:00:00,-1700.78,-697.89,2441.68,53.32,-552.33,-593.90
2024-01-03 03:00:00,-1700.97,-731.15,2427.50,242.75,-301.15,-601.20
2024-01-03 04:00:00,-1701.06,-731.27,2168.02,479.67,-144.59,-596.60
2024-01-03 05:00:00,-1701.45,-705.26,1997.76,503.37,-469.65,-514.90
2024-01-03 06:00:00,-1699.22,-332.21,1755.13,3.30,-554.99,-324.90
2024-01-03 07:00:00,-1693.18,-305.16,2127.91,-329.14,-795.10,-523.80
2024-01-03 08:00:00,-1577.09,-311.01,2316.04,-694.05,-800.15,-408.50
2024-01-03 09:00:00,-1360.42,-416.37,2388.94,-694.79,-800.35,-503.90
2024-01-03 10:00:00,-1552.37,-705.48,2514.21,-330.05,-800.29,-581.60
2024-01-03 11:00:00,-1558.87,-659.49,2496.63,-407.43,-800.29,-485.30
2024-01-03 12:00:00,-1607.59,-720.63,2493.61,-172.49,-800.26,-575.60
