time,ExchangeSE_MWh,ExchangeGE_MWh,ExchangeGreatBelt_MWh
2023-12-31 23:00:00,-1226.63,966.12,530.70
2024-01-01 00:00:00,-1166.47,986.25,532.60
2024-01-01 01:00:00,-1311.10,986.58,531.60
2024-01-01 02:00:00,-1365.57,986.66,529.20
2024-01-01 03:00:00,-1472.74,986.77,490.70
2024-01-01 04:00:00,-1477.39,986.98,500.30
2024-01-01 05:00:00,-1367.96,986.92,513.10
2024-01-01 06:00:00,-1305.37,986.73,501.20
2024-01-01 07:00:00,-1178.66,986.88,462.00
2024-01-01 08:00:00,-1185.42,986.76,543.50
2024-01-01 09:00:00,-794.15,986.95,149.80
2024-01-01 10:00:00,-483.81,985.10,-122.40
2024-01-01 11:00:00,-351.17,986.93,-202.80
2024-01-01 12:00:00,-7.33,986.83,-520.80
2024-01-01 13:00:00,257.64,982.41,-540.50
2024-01-01 14:00:00,-22.96,975.70,-317.30
2024-01-01 15:00:00,-256.56,977.95,-128.70
2024-01-01 16:00:00,-145.25,969.45,-69.90
2024-01-01 17:00:00,-141.62,957.53,-60.10
2024-01-01 18:00:00,-603.89,975.15,150.20
2024-01-01 19:00:00,-686.36,982.23,101.70
2024-01-01 20:00:00,-954.00,970.29,377.50
2024-01-01 21:00:00,-872.39,982.85,253.90
2024-01-01 22:00:00,-1238.34,986.84,566.70
2024-01-01 23:00:00,-1214.28,986.75,589.70
2024-01-02 00:00:00,-1075.88,986.87,535.10
2024-01-02 01:00:00,-1067.39,984.87,578.40
2024-01-02 02:00:00,-1156.63,976.36,586.60
2024-01-02 03:00:00,-1066.71,980.68,551.70
2024-01-02 04:00:00,-1009.45,971.61,434.20
2024-01-02 05:00:00,-931.49,957.34,519.00
2024-01-02 06:00:00,-702.55,960.20,316.00
2024-01-02 07:00:00,-608.47,920.09,259.60
2024-01-02 08:00:00,-455.72,880.33,189.80
2024-01-02 09:00:00,-240.05,634.73,77.90
2024-01-02 10:00:00,-541.29,489.80,307.40
2024-01-02 11:00:00,-235.29,1.73,332.80
2024-01-02 12:00:00,-147.37,-476.65,573.10
2024-01-02 13:00:00,-369.68,-419.78,570.10
2024-01-02 14:00:00,-34.61,-571.47,383.20
2024-01-02 15:00:00,-12.43,-657.89,493.70
2024-01-02 16:00:00,-49.19,-557.48,548.20
2024-01-02 17:00:00,-440.07,-249.05,568.20
2024-01-02 18:00:00,-1131.40,305.34,579.30
2024-01-02 19:00:00,-1418.14,646.25,444.00
2024-01-02 20:00:00,-1656.63,721.40,516.00
2024-01-02 21:00:00,-1629.58,721.07,484.20
2024-01-02 22:00:00,-1646.54,734.39,494.80
2024-01-02 23:00:00,-1572.86,740.71,490.40
2024-01-03 00:00:00,-1545.07,746.58,534.90
2024-01-03 01:00:00,-1523.70,746.61,466.40
2024-01-03 02:00:00,-1678.25,749.51,583.70
2024-01-03 03:00:00,-1687.24,747.36,590.70
