# Annual industrial hydrogen demand per zone, TWh of hydrogen,
# for the hydrogen sector of section 9.
# GENERATED by data/prepare.py -- do not edit by hand.
# Source: ENTSO-E/ENTSOG TYNDP 2024 Scenarios, Demand Profiles,
#   Demand Profiles/DE/2050/H2_ZONE_2.xlsx, Distributed Energy 2050, climate year
#   2009 (CC-BY-4.0).
# Hydrogen for HEATING is a separate TYNDP workbook and is excluded:
#   this note's heat sector is section 5's heat pumps.
# A TYNDP node covering several of our zones is split between them
#   in proportion to electricity load; the node total and the share
#   used are both recorded so the split is visible.
# Norway's demand is zero in this scenario -- the data, not a gap.
zone,tyndp_node,load_twh,h2_twh_node,load_share_of_node,h2_twh_used,basis
DE,DE00,464.06,364.104,1.0,364.104,"TYNDP Distributed Energy 2050, climate year 2009"
DK1,DKE1,18.77,9.873,0.512,5.055,"TYNDP Distributed Energy 2050, climate year 2009, split by load"
DK2,DKE1,17.89,9.873,0.488,4.818,"TYNDP Distributed Energy 2050, climate year 2009, split by load"
NO1,NO00,48.96,0.0,0.359,0.0,"TYNDP Distributed Energy 2050, climate year 2009, split by load"
NO2,NO00,32.78,0.0,0.2403,0.0,"TYNDP Distributed Energy 2050, climate year 2009, split by load"
NO3,NO00,21.7,0.0,0.1591,0.0,"TYNDP Distributed Energy 2050, climate year 2009, split by load"
NO4,NO00,19.03,0.0,0.1395,0.0,"TYNDP Distributed Energy 2050, climate year 2009, split by load"
NO5,NO00,13.92,0.0,0.1021,0.0,"TYNDP Distributed Energy 2050, climate year 2009, split by load"
SE1,SE00,7.48,54.583,0.0569,3.106,"TYNDP Distributed Energy 2050, climate year 2009, split by load"
SE2,SE00,18.86,54.583,0.1435,7.832,"TYNDP Distributed Energy 2050, climate year 2009, split by load"
SE3,SE00,79.4,54.583,0.6041,32.975,"TYNDP Distributed Energy 2050, climate year 2009, split by load"
SE4,SE00,25.69,54.583,0.1955,10.671,"TYNDP Distributed Energy 2050, climate year 2009, split by load"
