# Underground hydrogen storage ceiling per zone at 2050,
# GWh of hydrogen. The cap on the cheap store; tanks are uncapped.
# GENERATED by data/prepare.py -- do not edit by hand.
# Source: ENTSO-E/ENTSOG TYNDP 2024 Scenarios, Hydrogen inputs,
#   'H2 STORAGES', MAX CAPACITY [GWh] at 2050,
#   scenario 'All', ZONE 2 (CC-BY-4.0).
# Norway is absent from the source table: crystalline bedrock, no
#   salt caverns -- the same point Caglayan et al. (2020) make, in
#   TYNDP's own numbers rather than on the note's say-so.
# THE SPLIT TO ZONES IS OURS, NOT THE SOURCE'S: a country's ceiling
#   in proportion to its zones' hydrogen demand. Geology does not
#   follow demand, so treat a single zone's figure as indicative;
#   the country totals are the sourced quantity.
# TYNDP also caps injection and withdrawal power (MAX POWER and MAX
#   LOAD EXPANSION). Those are NOT applied here -- the store sits
#   directly on the hydrogen bus with no rating -- and are the next
#   refinement if storage power turns out to bind.
zone,country,country_max_gwh,share_of_country,max_gwh,basis
DE,DE,37524.0,1.0,37524.0,DE split by hydrogen demand
DK1,DK,230.0,0.512,117.8,DK split by hydrogen demand
DK2,DK,230.0,0.488,112.2,DK split by hydrogen demand
NO1,NO,0.0,0.0,0.0,NO not in the TYNDP table
NO2,NO,0.0,0.0,0.0,NO not in the TYNDP table
NO3,NO,0.0,0.0,0.0,NO not in the TYNDP table
NO4,NO,0.0,0.0,0.0,NO not in the TYNDP table
NO5,NO,0.0,0.0,0.0,NO not in the TYNDP table
SE1,SE,312.2,0.0569,17.8,SE split by hydrogen demand
SE2,SE,312.2,0.1435,44.8,SE split by hydrogen demand
SE3,SE,312.2,0.6041,188.6,SE split by hydrogen demand
SE4,SE,312.2,0.1955,61.0,SE split by hydrogen demand
