bus,carrier,p_nom_mw
DE,CCGT,30783.1
DE,OCGT,6112.7
DE,biomass,8020.0
DE,coal,20351.9
DE,geothermal,26.9
DE,lignite,19457.0
DE,offwind-ac,11163.7
DE,oil,5684.3
DE,onwind,73332.1
DE,ror,4014.1
DE,solar,48771.3
DE,waste,3127.7
DK1,CCGT,1137.2
DK1,biomass,661.0
DK1,coal,716.0
DK1,offwind-ac,1602.6
DK1,onwind,1752.7
DK1,solar,2529.5
DK1,waste,51.0
DK2,CCGT,38.0
DK2,biomass,1120.0
DK2,offwind-ac,1050.0
DK2,oil,126.0
DK2,onwind,234.0
DK2,solar,840.4
DK2,waste,102.0
NO1,onwind,376.0
NO1,ror,1549.0
NO1,solar,16.0
NO2,offwind-ac,50.0
NO2,onwind,1263.4
NO2,ror,240.0
NO2,solar,16.0
NO3,onwind,1284.0
NO3,ror,174.0
NO3,solar,1.6
NO4,CCGT,459.0
NO4,onwind,1142.0
NO4,ror,120.0
NO5,CCGT,294.0
NO5,offwind-ac,88.0
NO5,onwind,951.0
NO5,solar,1.0
SE1,CCGT,100.0
SE1,biomass,52.0
SE1,onwind,3286.0
SE2,biomass,688.7
SE2,onwind,8727.3
SE2,ror,1896.0
SE2,solar,8.0
SE2,waste,77.0
SE3,CCGT,250.0
SE3,biomass,1877.8
SE3,nuclear,3446.0
SE3,oil,1673.0
SE3,onwind,3403.7
SE3,ror,327.0
SE3,solar,350.8
SE3,waste,333.5
SE4,CCGT,440.0
SE4,biomass,567.1
SE4,nuclear,3738.0
SE4,offwind-ac,158.0
SE4,oil,1436.0
SE4,onwind,1867.8
SE4,solar,321.1
SE4,waste,41.6
