# Multiplier on offshore wind CAPITAL cost, per zone.
# GENERATED by data/prepare.py -- do not edit by hand.
# Source: IRENA, Renewable Power Generation Costs in 2024 (2025), offshore wind. Denmark USD 53/MWh (lowest in
#   Europe), Germany 69, European average 80.
# THE CONSTRUCTION IS OURS, NOT IRENA'S:
#   premium(z) = LCOE(country)/LCOE(DK) x CF(z)/CF(DK)
#   The capacity-factor term is not decoration. An LCOE gap is part
#   capital and part resource, and this model already carries the
#   resource in each zone's wind profile; without the correction the
#   resource would be counted twice.
# Denmark is 1.000 by construction: the underlying DEA cost is the
#   Danish one, and it is the cheapest offshore in Europe.
# Zones with no published country LCOE take the European average.
#   Sweden and Norway have essentially no offshore fleet for IRENA
#   to observe, and SE4 carries the largest offshore potential in
#   the model -- so that fallback is doing real work, and is the
#   weakest number in this file.
# capacity_factor is the shipped network's own annual mean for the
#   zone, unweighted -- the same profile the model optimises on.
zone,offshore_potential_mw,capacity_factor,irena_lcoe_usd_mwh,premium,basis
DE,11163.7,0.4991,69.0,1.2181,IRENA country LCOE
DK1,14712.5,0.5381,53.0,1.0,anchor: the DEA cost is Danish
DK2,9571.6,0.5289,53.0,1.0,anchor: the DEA cost is Danish
NO1,0.0,,80.0,1.0,no offshore profile; premium unused
NO2,3867.2,0.4358,80.0,1.2332,IRENA European average (no country figure)
NO3,0.0,,80.0,1.0,no offshore profile; premium unused
NO4,0.0,,80.0,1.0,no offshore profile; premium unused
NO5,3836.0,0.463,80.0,1.31,IRENA European average (no country figure)
SE1,0.0,,80.0,1.0,no offshore profile; premium unused
SE2,0.0,,80.0,1.0,no offshore profile; premium unused
SE3,0.0,,80.0,1.0,no offshore profile; premium unused
SE4,18635.1,0.4875,80.0,1.3793,IRENA European average (no country figure)
