# Buildable potential per zone for section 9's European expansion.
# GENERATED by data/prepare.py -- do not edit by hand.
# tyndp_high_2040_mw: ENTSO-E/ENTSOG TYNDP 2024 Scenarios, Supply
#   Inputs, sheets 1.1-1.3, HIGH trajectory at
#   2050, summed over the TYNDP zones named in
#   tyndp_zones (CC-BY-4.0). Southern Norway is one TYNDP zone over
#   three of ours and is split by technical potential.
# technical_potential_mw: the land-availability potential the
#   shipped PyPSA-Eur network carries in p_nom_max.
# p_nom_max_used_mw: the smaller of the two -- the most ambitious
#   published trajectory, never more than the land allows. Zero
#   means the exported network has no generator of this kind in
#   this zone, so there is no availability profile to build on.
# Section 7's Danish caps are NOT these: they are the note's own
# stylised land limits, and stay as they are.
zone,technology,tyndp_zones,tyndp_high_2040_mw,technical_potential_mw,p_nom_max_used_mw,binding
DE,solar_pv,DE00+DEKF,507250.0,1086693.1,507250.0,TYNDP trajectory
DE,wind_onshore,DE00+DEKF,191500.0,487836.9,191500.0,TYNDP trajectory
DE,wind_offshore,DE00+DEKF,74584.3,11163.7,11163.7,technical potential
DK1,solar_pv,DKW1+DKNS,47809.6,121658.5,47809.6,TYNDP trajectory
DK1,wind_onshore,DKW1+DKNS,10504.6,64494.4,10504.6,TYNDP trajectory
DK1,wind_offshore,DKW1+DKNS,110246.4,14712.5,14712.5,technical potential
DK2,solar_pv,DKE1+DKKF+DKBH,14461.8,35934.4,14461.8,TYNDP trajectory
DK2,wind_onshore,DKE1+DKKF+DKBH,1995.4,14964.2,1995.4,TYNDP trajectory
DK2,wind_offshore,DKE1+DKKF+DKBH,18915.2,9571.6,9571.6,technical potential
NO1,solar_pv,NOS0,9314.1,99140.1,9314.1,TYNDP trajectory
NO1,wind_onshore,NOS0,1313.8,189937.0,1313.8,TYNDP trajectory
NO1,wind_offshore,NOS0,0.0,0.0,0.0,no candidate (not in the exported network)
NO2,solar_pv,NOS0,4221.4,44932.5,4221.4,TYNDP trajectory
NO2,wind_onshore,NOS0,763.7,110405.2,763.7,TYNDP trajectory
NO2,wind_offshore,NOS0,5773.3,3867.2,3867.2,technical potential
NO3,solar_pv,NOM1,3750.0,77795.8,3750.0,TYNDP trajectory
NO3,wind_onshore,NOM1,2424.6,128467.1,2424.6,TYNDP trajectory
NO3,wind_offshore,NOM1,3000.0,0.0,0.0,no candidate (not in the exported network)
NO4,solar_pv,NON1,0.0,0.0,0.0,no candidate (not in the exported network)
NO4,wind_onshore,NON1,1858.1,280081.4,1858.1,TYNDP trajectory
NO4,wind_offshore,NON1,4000.0,0.0,0.0,no candidate (not in the exported network)
NO5,solar_pv,NOS0,6764.5,72001.8,6764.5,TYNDP trajectory
NO5,wind_onshore,NOS0,563.1,81410.6,563.1,TYNDP trajectory
NO5,wind_offshore,NOS0,5726.7,3836.0,3836.0,technical potential
SE1,solar_pv,SE01,3000.0,0.0,0.0,no candidate (not in the exported network)
SE1,wind_onshore,SE01,10600.0,183554.2,10600.0,TYNDP trajectory
SE1,wind_offshore,SE01,11000.0,0.0,0.0,no candidate (not in the exported network)
SE2,solar_pv,SE02,6000.0,22754.8,6000.0,TYNDP trajectory
SE2,wind_onshore,SE02,20800.0,346439.5,20800.0,TYNDP trajectory
SE2,wind_offshore,SE02,11000.0,0.0,0.0,no candidate (not in the exported network)
SE3,solar_pv,SE03,28650.0,121009.1,28650.0,TYNDP trajectory
SE3,wind_onshore,SE03,11500.0,317947.0,11500.0,TYNDP trajectory
SE3,wind_offshore,SE03,11500.0,0.0,0.0,no candidate (not in the exported network)
SE4,solar_pv,SE04,11850.0,54391.3,11850.0,TYNDP trajectory
SE4,wind_onshore,SE04,6200.0,94547.3,6200.0,TYNDP trajectory
SE4,wind_offshore,SE04,38500.0,18635.1,18635.1,technical potential
