time,DK1,DK2,DE,NO2,SE3,SE4
2023-12-31 23:00:00,16.99,29.13,0.10,53.79,29.56,29.56
2024-01-01 00:00:00,28.14,28.46,0.01,48.98,28.46,28.46
2024-01-01 01:00:00,26.66,26.66,0.00,27.45,26.66,26.66
2024-01-01 02:00:00,4.14,24.48,-0.01,24.48,24.48,24.48
2024-01-01 03:00:00,-0.03,24.01,-0.03,24.01,24.01,24.01
2024-01-01 04:00:00,-0.02,15.88,-0.02,21.23,21.23,21.23
2024-01-01 05:00:00,-0.05,15.87,-0.05,22.62,22.62,22.62
2024-01-01 06:00:00,-0.02,22.04,-0.02,25.04,25.04,25.04
2024-01-01 07:00:00,0.00,25.42,0.00,26.24,26.24,26.24
2024-01-01 08:00:00,0.08,32.21,0.04,32.21,32.21,32.21
2024-01-01 09:00:00,41.34,41.34,0.06,47.71,41.34,41.34
2024-01-01 10:00:00,43.51,43.51,0.54,52.51,43.51,43.51
2024-01-01 11:00:00,43.02,43.02,2.24,56.57,43.02,43.02
2024-01-01 12:00:00,44.29,44.29,1.96,59.82,44.29,44.29
2024-01-01 13:00:00,46.24,46.24,1.04,62.06,46.24,46.24
2024-01-01 14:00:00,50.61,50.61,3.66,62.52,50.61,50.61
2024-01-01 15:00:00,59.47,59.47,43.06,63.19,59.47,59.47
2024-01-01 16:00:00,64.99,64.99,49.93,64.99,64.99,64.99
2024-01-01 17:00:00,61.74,61.74,58.00,63.58,61.74,61.74
2024-01-01 18:00:00,61.27,55.07,54.25,63.10,55.07,55.07
2024-01-01 19:00:00,59.97,48.01,48.01,62.15,48.01,48.01
2024-01-01 20:00:00,54.92,44.01,42.95,58.27,44.01,44.01
2024-01-01 21:00:00,47.65,45.20,47.09,52.58,45.20,45.20
2024-01-01 22:00:00,35.55,38.00,35.55,44.03,38.00,38.00
2024-01-01 23:00:00,30.59,38.00,30.59,38.00,38.00,38.00
2024-01-02 00:00:00,20.07,33.56,20.07,33.56,33.56,33.56
2024-01-02 01:00:00,31.03,32.03,31.03,32.03,32.03,32.03
2024-01-02 02:00:00,18.39,32.29,18.39,32.29,32.29,32.29
2024-01-02 03:00:00,11.08,36.70,11.08,36.70,36.70,36.70
2024-01-02 04:00:00,13.78,41.72,13.78,41.72,41.72,41.72
2024-01-02 05:00:00,47.63,49.18,47.63,49.18,49.18,49.18
2024-01-02 06:00:00,58.10,58.75,58.10,62.04,58.75,58.75
2024-01-02 07:00:00,65.67,65.67,65.67,65.67,65.67,65.67
2024-01-02 08:00:00,64.73,66.11,64.73,66.80,66.11,66.11
2024-01-02 09:00:00,68.98,68.98,68.98,71.08,68.98,68.98
2024-01-02 10:00:00,73.54,73.54,73.54,73.54,73.54,73.54
2024-01-02 11:00:00,78.16,78.16,78.16,78.16,78.16,78.16
2024-01-02 12:00:00,78.87,78.87,78.87,78.87,78.87,78.87
2024-01-02 13:00:00,79.24,79.24,79.24,79.24,79.24,79.24
2024-01-02 14:00:00,79.96,79.96,79.96,79.96,79.96,79.96
2024-01-02 15:00:00,81.46,81.46,83.46,81.46,81.46,81.46
