# Transmission investment candidates between the twelve zones:
# increments the section 9 model may BUY, at TYNDP's own capex.
# GENERATED by data/prepare.py -- do not edit by hand.
# Source: ENTSO-E/ENTSOG TYNDP 2024 Scenarios, 'Electricity and
#   Hydrogen Reference Grid & Investment Candidates', sheet
#   '3. Elec Invest Candidates' (CC-BY-4.0).
# The REFERENCE grid from the same workbook is deliberately NOT
#   used: it quotes commercial NTCs while the shipped network
#   carries thermal circuit ratings, and the two differ by a factor
#   of three to five on the meshed Nordic borders. See the comment
#   in prepare.py for the comparison.
# 'kind' separates identified projects (real) from the generic
#   reinforcement blocks the CBA uses to price a border (concept),
#   and both from projects quoted at zero capex (committed), which
#   are already paid for and belong in the fixed grid.
# 'year' is TYNDP's commissioning horizon; every candidate is dated
#   2030-2040, so all of them are available by 2050.
# Southern Norway is one TYNDP node over three of our zones; its
#   candidates land in NO2, where the
#   shipped network's Norwegian interconnectors come ashore.
candidate,zone0,zone1,kind,year,mw,capex_meur,capex_eur_per_mw
DE00-DKW1 Concept 1,DE,DK1,concept,2040,2000.0,4800.0,2400000.0
DE00-DKE1 Concept 1,DE,DK2,concept,2030,500.0,383.3,766600.0
DE00-DKE1 Concept 2,DE,DK2,concept,2030,500.0,384.3,768600.0
DE00-DKE1 Concept 3,DE,DK2,concept,2040,500.0,385.3,770600.0
DE00-DKE1 Concept 4,DE,DK2,concept,2040,500.0,386.3,772600.0
DE00-DKE1 Concept 5,DE,DK2,concept,2040,500.0,387.3,774600.0
DE00-DKE1 Concept 6,DE,DK2,concept,2040,500.0,388.3,776600.0
DE00-NOS0 Concept 1,DE,NO2,concept,2040,1000.0,4000.0,4000000.0
DE00-NOS0 Concept 2,DE,NO2,concept,2040,1000.0,4000.0,4000000.0
DE00-SE04 Real 1,DE,SE4,real,2035,700.0,661.0,944285.7
DE00-SE04 Concept 1,DE,SE4,concept,2040,500.0,478.6,957200.0
DE00-SE04 Concept 2,DE,SE4,concept,2040,500.0,479.6,959200.0
DE00-SE04 Concept 3,DE,SE4,concept,2040,500.0,480.6,961200.0
DE00-SE04 Concept 4,DE,SE4,concept,2040,500.0,481.6,963200.0
DE00-SE04 Concept 5,DE,SE4,concept,2040,500.0,482.6,965200.0
DE00-SE04 Concept 6,DE,SE4,concept,2040,500.0,483.6,967200.0
DKE1-DKW1 Concept 1,DK1,DK2,concept,2030,600.0,600.0,1000000.0
DKW1-NOS0 Concept 2,DK1,NO2,concept,2040,1000.0,850.0,850000.0
DKW1-NOS0 Concept 1,DK1,NO2,concept,2040,1000.0,1150.0,1150000.0
DKW1-SE03 Real 1,DK1,SE3,real,2035,700.0,317.0,452857.1
DKW1-SE03 Concept 1,DK1,SE3,concept,2030,500.0,471.0,942000.0
DKW1-SE03 Concept 3,DK1,SE3,concept,2030,500.0,471.4,942800.0
DKW1-SE03 Concept 4,DK1,SE3,concept,2030,500.0,471.4,942800.0
DKW1-SE03 Concept 5,DK1,SE3,concept,2035,500.0,471.4,942800.0
DKW1-SE03 Concept 6,DK1,SE3,concept,2035,500.0,471.4,942800.0
DKW1-SE03 Concept 2,DK1,SE3,concept,2030,500.0,472.0,944000.0
DKE1-SE04 Concept 1,DK2,SE4,concept,2040,500.0,150.0,300000.0
DKE1-SE04 Concept 2,DK2,SE4,concept,2040,500.0,150.0,300000.0
DKE1-SE04 Concept 3,DK2,SE4,concept,2030,500.0,150.0,300000.0
DKE1-SE04 Concept 4,DK2,SE4,concept,2040,500.0,150.0,300000.0
NOS0-SE03 Concept 1,NO2,SE3,concept,2040,500.0,250.0,500000.0
NOS0-SE03 Concept 2,NO2,SE3,concept,2040,500.0,250.0,500000.0
NOS0-SE03 Concept 3,NO2,SE3,concept,2040,500.0,250.0,500000.0
NOS0-SE03 Concept 4,NO2,SE3,concept,2040,500.0,250.0,500000.0
NOM1-SE02 Concept 1,NO3,SE2,concept,2040,500.0,250.0,500000.0
NOM1-SE02 Concept 2,NO3,SE2,concept,2040,500.0,250.0,500000.0
NON1-SE01 Concept 1,NO4,SE1,concept,2040,500.0,250.0,500000.0
NON1-SE01 Concept 2,NO4,SE1,concept,2040,500.0,250.0,500000.0
NON1-SE02 Concept 1,NO4,SE2,concept,2040,500.0,250.0,500000.0
NON1-SE02 Concept 2,NO4,SE2,concept,2040,500.0,250.0,500000.0
SE01-SE02 Concept 1,SE1,SE2,concept,2040,1000.0,630.0,630000.0
SE01-SE02 Concept 2,SE1,SE2,concept,2040,1000.0,630.0,630000.0
SE02-SE03 Real 1,SE2,SE3,committed,2035,2000.0,0.0,0.0
SE02-SE03 Real 2,SE2,SE3,committed,2040,1000.0,0.0,0.0
SE02-SE03 Concept 1,SE2,SE3,concept,2040,1000.0,780.0,780000.0
SE02-SE03 Concept 2,SE2,SE3,concept,2040,1000.0,780.0,780000.0
SE03-SE04 Concept 1,SE3,SE4,concept,2040,1000.0,550.0,550000.0
SE03-SE04 Concept 2,SE3,SE4,concept,2040,1000.0,550.0,550000.0
