# Reference-grid transfer capacities between the twelve zones,
# both directions in MW, from ENTSO-E/ENTSOG TYNDP 2024
# Scenarios, 'Electricity and Hydrogen Reference Grid &
# Investment Candidates', sheet '1. Elec Ref Grid'
# (CC-BY-4.0). GENERATED by data/prepare.py. ntc_mw is the
# larger direction, since a symmetric line cannot carry an
# asymmetric limit. Zones joined by '+' are one TYNDP node.
tyndp_border,zones0,zones1,dir1_mw,dir2_mw,ntc_mw
DE00-DKE1,DE,DK2,600,600,600
DE00-DKW1,DE,DK1,3500,3500,3500
DE00-NOS0,DE,NO1+NO2+NO5,1400,1400,1400
DE00-SE04,DE,SE4,1315,1315,1315
DEKF-DKKF,DE,DK2,400,400,400
DKE1-DKW1,DK2,DK1,600,590,600
DKE1-SE04,DK2,SE4,1700,1300,1700
DKW1-NOS0,DK1,NO1+NO2+NO5,1632,1632,1632
DKW1-SE03,DK1,SE3,715,715,715
NOM1-NON1,NO3,NO4,350,1300,1300
NOM1-NOS0,NO3,NO1+NO2+NO5,800,600,800
NOM1-SE02,NO3,SE2,600,1000,1000
NON1-SE01,NO4,SE1,700,600,700
NON1-SE02,NO4,SE2,250,300,300
NOS0-SE03,NO1+NO2+NO5,SE3,2145,2095,2145
SE01-SE02,SE1,SE2,3300,3300,3300
SE02-SE03,SE2,SE3,7300,7300,7300
SE03-SE04,SE3,SE4,6200,2800,6200
