# The same projection, as successive releases of the same
# catalogue stated it. Money is nominal EUR as published; the
# step between the 2023 and 2024 releases is largely a currency
# rebasing, which is itself part of the point.
release,released,target_year,technology,investment_eur_per_kw
v0.1.0,2020-08,2030,CCGT,830.0000
v0.1.0,2020-08,2030,OCGT,435.2400
v0.1.0,2020-08,2030,battery storage,142.0000
v0.1.0,2020-08,2030,nuclear,7940.4500
v0.1.0,2020-08,2030,offwind,1573.2100
v0.1.0,2020-08,2030,onwind,1035.5600
v0.1.0,2020-08,2030,solar-utility,376.2900
v0.3.0,2021-10,2030,CCGT,830.0000
v0.3.0,2021-10,2030,OCGT,435.2400
v0.3.0,2021-10,2030,battery storage,142.0000
v0.3.0,2021-10,2030,nuclear,7940.4500
v0.3.0,2021-10,2030,offwind,1573.2100
v0.3.0,2021-10,2030,onwind,1035.5600
v0.3.0,2021-10,2030,solar-utility,376.2900
v0.4.0,2022-07,2030,CCGT,830.0000
v0.4.0,2022-07,2030,OCGT,435.2400
v0.4.0,2022-07,2030,battery storage,142.0000
v0.4.0,2022-07,2030,nuclear,7940.4500
v0.4.0,2022-07,2030,offwind,1523.5500
v0.4.0,2022-07,2030,onwind,1035.5600
v0.4.0,2022-07,2030,solar-utility,347.5600
v0.6.0,2023-05,2030,CCGT,830.0000
v0.6.0,2023-05,2030,OCGT,435.2400
v0.6.0,2023-05,2030,battery storage,142.0000
v0.6.0,2023-05,2030,nuclear,7940.4500
v0.6.0,2023-05,2030,offwind,1523.5500
v0.6.0,2023-05,2030,onwind,1035.5600
v0.6.0,2023-05,2030,solar-utility,347.5600
v0.9.0,2024-05,2030,CCGT,878.3240
v0.9.0,2024-05,2030,OCGT,460.5804
v0.9.0,2024-05,2030,battery storage,150.2675
v0.9.0,2024-05,2030,nuclear,8594.1354
v0.9.0,2024-05,2030,offwind,1682.1226
v0.9.0,2024-05,2030,onwind,1095.8533
v0.9.0,2024-05,2030,solar-utility,383.7312
v0.12.0,2025-05,2030,CCGT,878.3240
v0.12.0,2025-05,2030,OCGT,460.5804
v0.12.0,2025-05,2030,battery storage,151.0028
v0.12.0,2025-05,2030,nuclear,8594.1354
v0.12.0,2025-05,2030,offwind,1682.1226
v0.12.0,2025-05,2030,onwind,1095.8533
v0.12.0,2025-05,2030,solar-utility,383.7312
v0.13.2,2025-06,2030,CCGT,878.3240
v0.13.2,2025-06,2030,OCGT,460.5804
v0.13.2,2025-06,2030,battery storage,151.0028
v0.13.2,2025-06,2030,nuclear,8594.1354
v0.13.2,2025-06,2030,offwind,1682.1226
v0.13.2,2025-06,2030,onwind,1095.8533
v0.13.2,2025-06,2030,solar-utility,383.7312
