# Our World in Data (CC-BY 4.0), retrieved at build time.
# module_price_usd_per_w: world average PV module price, constant
#   USD per watt of capacity (OWID after Nemet and IRENA).
# cumulative_capacity_gw: world cumulative installed PV capacity.
# The price series starts in 1975, the capacity series in 2000.
year,module_price_usd_per_w,cumulative_capacity_gw
1975,128.269240,
1976,96.507935,
1977,70.407074,
1978,49.813416,
1979,41.855152,
1980,35.469440,
1981,28.358482,
1982,25.479465,
1983,20.569576,
1984,19.113127,
1985,16.686186,
1986,13.802792,
1987,11.734707,
1988,10.960708,
1989,11.327412,
1990,11.716064,
1991,10.853333,
1992,10.111405,
1993,9.455940,
1994,8.945153,
1995,8.270751,
1996,7.732289,
1997,7.705326,
1998,6.943273,
1999,6.413923,
2000,6.294375,1.220137
2001,6.089497,1.330765
2002,5.568966,1.630559
2003,5.294312,2.341825
2004,4.555498,3.426249
2005,4.604172,4.922178
2006,5.018519,6.485610
2007,5.055688,8.955674
2008,4.607598,15.228925
2009,3.079650,23.544180
2010,2.443362,41.371460
2011,2.004735,72.420906
2012,1.080450,102.293970
2013,0.833264,139.004100
2014,0.768989,178.057830
2015,0.715681,225.719380
2016,0.661715,297.397500
2017,0.555784,391.501500
2018,0.495179,486.528440
2019,0.454225,588.691100
2020,0.359667,719.664200
2021,0.322878,862.990800
2022,0.355834,1056.373000
2023,0.312999,1413.473000
2024,0.257960,1866.306400
