technology,CO2 intensity,FOM,VOM,efficiency,efficiency-heat,fuel,investment,lifetime,eur_year,cost_year,source_tag
solar-utility,,2.1982,,,,,473.1156,37.5000,2020,2025,v0.13.2
solar-rooftop,,1.2567,,,,,880.0251,37.5000,2020,2025,v0.13.2
onwind,,1.2347,1.5080,,,,1139.8826,28.5000,2020,2025,v0.13.2
offwind,,2.3741,0.0212,,,,1883.6993,30.0000,2020,2025,v0.13.2
hydro,,1.0000,,0.9000,,,2274.8177,80.0000,2020,2025,v0.13.2
ror,,2.0000,,0.9000,,,3412.2266,80.0000,2020,2025,v0.13.2
PHS,,1.0000,,0.7500,,,2274.8177,80.0000,2020,2025,v0.13.2
nuclear,,1.2700,3.5464,0.3260,,3.4122,8594.1354,40.0000,2020,2025,v0.13.2
coal,0.3361,1.3100,3.2612,0.3560,,9.5542,3827.1629,40.0000,2020,2025,v0.13.2
CCGT,,3.3392,4.5504,0.5700,,,904.7795,25.0000,2020,2025,v0.13.2
OCGT,,1.7784,4.7620,0.4050,,,470.4853,25.0000,2020,2025,v0.13.2
oil,0.2571,2.5143,6.3493,0.3500,,52.9111,362.9700,25.0000,2020,2025,v0.13.2
central solid biomass CHP,,2.8762,4.8603,0.2694,0.8250,,3642.4702,25.0000,2020,2025,v0.13.2
waste CHP,,2.3789,28.4644,0.2051,0.7627,,8829.8509,25.0000,2020,2025,v0.13.2
battery inverter,,0.2512,,0.9550,,,147.3520,10.0000,2020,2025,v0.13.2
battery storage,,,,,,,128.1620,22.5000,2020,2025,v0.13.2
central air-sourced heat pump,,0.2102,2.3175,3.1500,,,1006.7765,25.0000,2020,2025,v0.13.2
central gas boiler,,3.5000,1.1111,1.0350,,,58.2022,25.0000,2020,2025,v0.13.2
